Context;Instance;Reference;en;fr;it;pt;nb
ReportDisplayName;"\work\HIS2\Masses\Masse par gérant.srex";"Masse par gérant";;;;;
ReportViewName;"\work\HIS2\Masses\Masse par gérant.srex";"view";;;;;
ReportViewName;"\work\HIS2\Masses\Masse par gérant.srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Masses\Masse par gérant.srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Masses\Masse par gérant.srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Masses\Masse par gérant.srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Masses\Masse par gérant.srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Masses\Masse par gérant.srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Masses\Masse par gérant.srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Masses\Masse par gérant.srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Masses\Masse par gérant.srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\HIS2\Masses\Positions par gérant - EXCEL.srex";"Positions par gérant - EXCEL";;;;;
ReportViewName;"\work\HIS2\Masses\Positions par gérant - EXCEL.srex";"view";;;;;
ReportViewName;"\work\HIS2\Masses\Positions par gérant - EXCEL.srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Masses\Positions par gérant - EXCEL.srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Masses\Positions par gérant - EXCEL.srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Masses\Positions par gérant - EXCEL.srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Masses\Positions par gérant - EXCEL.srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Masses\Positions par gérant - EXCEL.srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Masses\Positions par gérant - EXCEL.srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Masses\Positions par gérant - EXCEL.srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Masses\Positions par gérant - EXCEL.srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\HIS2\Masses\Progression masse annuelle des clients ouverts.srex";"Progression masse annuelle des clients ouverts";;;;;
ReportViewName;"\work\HIS2\Masses\Progression masse annuelle des clients ouverts.srex";"view";;;;;
ReportViewName;"\work\HIS2\Masses\Progression masse annuelle des clients ouverts.srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Masses\Progression masse annuelle des clients ouverts.srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Masses\Progression masse annuelle des clients ouverts.srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Masses\Progression masse annuelle des clients ouverts.srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Masses\Progression masse annuelle des clients ouverts.srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Masses\Progression masse annuelle des clients ouverts.srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Masses\Progression masse annuelle des clients ouverts.srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Masses\Progression masse annuelle des clients ouverts.srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Masses\Progression masse annuelle des clients ouverts.srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\HIS2\Mid Office\Mouvements Dépositaire (Excel).srex";"Mouvements Dépositaire (Excel)";;;;;
ReportViewName;"\work\HIS2\Mid Office\Mouvements Dépositaire (Excel).srex";"view";;;;;
ReportViewName;"\work\HIS2\Mid Office\Mouvements Dépositaire (Excel).srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Mid Office\Mouvements Dépositaire (Excel).srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Mid Office\Mouvements Dépositaire (Excel).srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Mid Office\Mouvements Dépositaire (Excel).srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Mid Office\Mouvements Dépositaire (Excel).srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Mid Office\Mouvements Dépositaire (Excel).srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Mid Office\Mouvements Dépositaire (Excel).srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Mid Office\Mouvements Dépositaire (Excel).srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Mid Office\Mouvements Dépositaire (Excel).srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\HIS2\Mid Office\Mouvements et Volumes par dépositaire (Excel).srex";"Mouvements et Volumes par dépositaire (Excel)";;;;;
ReportViewName;"\work\HIS2\Mid Office\Mouvements et Volumes par dépositaire (Excel).srex";"view";;;;;
ReportViewName;"\work\HIS2\Mid Office\Mouvements et Volumes par dépositaire (Excel).srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Mid Office\Mouvements et Volumes par dépositaire (Excel).srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Mid Office\Mouvements et Volumes par dépositaire (Excel).srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Mid Office\Mouvements et Volumes par dépositaire (Excel).srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Mid Office\Mouvements et Volumes par dépositaire (Excel).srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Mid Office\Mouvements et Volumes par dépositaire (Excel).srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Mid Office\Mouvements et Volumes par dépositaire (Excel).srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Mid Office\Mouvements et Volumes par dépositaire (Excel).srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Mid Office\Mouvements et Volumes par dépositaire (Excel).srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\HIS2\Mid Office\Positions Dépositaire (Excel).srex";"Positions Dépositaire (Excel)";;;;;
ReportViewName;"\work\HIS2\Mid Office\Positions Dépositaire (Excel).srex";"view";;;;;
ReportViewName;"\work\HIS2\Mid Office\Positions Dépositaire (Excel).srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Mid Office\Positions Dépositaire (Excel).srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Mid Office\Positions Dépositaire (Excel).srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Mid Office\Positions Dépositaire (Excel).srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Mid Office\Positions Dépositaire (Excel).srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Mid Office\Positions Dépositaire (Excel).srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Mid Office\Positions Dépositaire (Excel).srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Mid Office\Positions Dépositaire (Excel).srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Mid Office\Positions Dépositaire (Excel).srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\HIS2\Mid Office\Positions titres par dépositaire (Excel).srex";"Positions titres par dépositaire (Excel)";;;;;
ReportViewName;"\work\HIS2\Mid Office\Positions titres par dépositaire (Excel).srex";"view";;;;;
ReportViewName;"\work\HIS2\Mid Office\Positions titres par dépositaire (Excel).srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Mid Office\Positions titres par dépositaire (Excel).srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Mid Office\Positions titres par dépositaire (Excel).srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Mid Office\Positions titres par dépositaire (Excel).srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Mid Office\Positions titres par dépositaire (Excel).srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Mid Office\Positions titres par dépositaire (Excel).srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Mid Office\Positions titres par dépositaire (Excel).srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Mid Office\Positions titres par dépositaire (Excel).srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Mid Office\Positions titres par dépositaire (Excel).srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\HIS2\Mid Office\Volume par dépositaire.srex";"Volume par dépositaire";;;;;
ReportViewName;"\work\HIS2\Mid Office\Volume par dépositaire.srex";"view";;;;;
ReportViewName;"\work\HIS2\Mid Office\Volume par dépositaire.srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Mid Office\Volume par dépositaire.srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Mid Office\Volume par dépositaire.srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Mid Office\Volume par dépositaire.srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Mid Office\Volume par dépositaire.srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Mid Office\Volume par dépositaire.srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Mid Office\Volume par dépositaire.srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Mid Office\Volume par dépositaire.srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Mid Office\Volume par dépositaire.srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\HIS2\Mid Office\Volume par genre de titre.srex";"Volume par genre de titre";;;;;
ReportViewName;"\work\HIS2\Mid Office\Volume par genre de titre.srex";"view";;;;;
ReportViewName;"\work\HIS2\Mid Office\Volume par genre de titre.srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Mid Office\Volume par genre de titre.srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Mid Office\Volume par genre de titre.srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Mid Office\Volume par genre de titre.srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Mid Office\Volume par genre de titre.srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Mid Office\Volume par genre de titre.srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Mid Office\Volume par genre de titre.srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Mid Office\Volume par genre de titre.srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Mid Office\Volume par genre de titre.srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\HIS2\Mid Office Cash\Mouvements caisse (Excel).srex";"Mouvements caisse (Excel)";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Mouvements caisse (Excel).srex";"view";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Mouvements caisse (Excel).srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Mouvements caisse (Excel).srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Mouvements caisse (Excel).srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Mouvements caisse (Excel).srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Mouvements caisse (Excel).srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Mouvements caisse (Excel).srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Mouvements caisse (Excel).srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Mouvements caisse (Excel).srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Mouvements caisse (Excel).srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\HIS2\Mid Office Cash\Net New Money (Excel).srex";"Net New Money (Excel)";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Net New Money (Excel).srex";"view";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Net New Money (Excel).srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Net New Money (Excel).srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Net New Money (Excel).srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Net New Money (Excel).srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Net New Money (Excel).srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Net New Money (Excel).srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Net New Money (Excel).srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Net New Money (Excel).srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Net New Money (Excel).srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\HIS2\Mid Office Cash\Overdrafts (Excel).srex";"Overdrafts (Excel)";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Overdrafts (Excel).srex";"view";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Overdrafts (Excel).srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Overdrafts (Excel).srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Overdrafts (Excel).srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Overdrafts (Excel).srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Overdrafts (Excel).srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Overdrafts (Excel).srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Overdrafts (Excel).srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Overdrafts (Excel).srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Overdrafts (Excel).srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\HIS2\Mid Office Cash\Positions Dépositaire (Excel).srex";"Positions Dépositaire (Excel)";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Positions Dépositaire (Excel).srex";"view";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Positions Dépositaire (Excel).srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Positions Dépositaire (Excel).srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Positions Dépositaire (Excel).srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Positions Dépositaire (Excel).srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Positions Dépositaire (Excel).srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Positions Dépositaire (Excel).srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Positions Dépositaire (Excel).srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Positions Dépositaire (Excel).srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Positions Dépositaire (Excel).srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\HIS2\Mid Office Cash\Withdrawals for European Clients.srex";"Withdrawals for European Clients";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Withdrawals for European Clients.srex";"view";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Withdrawals for European Clients.srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Withdrawals for European Clients.srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Withdrawals for European Clients.srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Withdrawals for European Clients.srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Withdrawals for European Clients.srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Withdrawals for European Clients.srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Withdrawals for European Clients.srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Withdrawals for European Clients.srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Withdrawals for European Clients.srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\HIS2\Mid Office Cash\Withdrawals greater than 50000 CHF semi annual.srex";"Withdrawals greater than 50000 CHF semi annual";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Withdrawals greater than 50000 CHF semi annual.srex";"view";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Withdrawals greater than 50000 CHF semi annual.srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Withdrawals greater than 50000 CHF semi annual.srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Withdrawals greater than 50000 CHF semi annual.srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Withdrawals greater than 50000 CHF semi annual.srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Withdrawals greater than 50000 CHF semi annual.srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Withdrawals greater than 50000 CHF semi annual.srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Withdrawals greater than 50000 CHF semi annual.srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Withdrawals greater than 50000 CHF semi annual.srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Mid Office Cash\Withdrawals greater than 50000 CHF semi annual.srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\HIS2\Mouvements\Account Statement (Excel).srex";"Account Statement (Excel)";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement (Excel).srex";"view";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement (Excel).srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement (Excel).srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement (Excel).srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement (Excel).srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement (Excel).srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement (Excel).srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement (Excel).srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement (Excel).srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement (Excel).srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\HIS2\Mouvements\Account Statement by CA (Excel).srex";"Account Statement by CA (Excel)";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement by CA (Excel).srex";"view";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement by CA (Excel).srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement by CA (Excel).srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement by CA (Excel).srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement by CA (Excel).srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement by CA (Excel).srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement by CA (Excel).srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement by CA (Excel).srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement by CA (Excel).srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement by CA (Excel).srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\HIS2\Mouvements\Account Statement.srex";"Account Statement";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement.srex";"view";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement.srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement.srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement.srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement.srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement.srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement.srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement.srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement.srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Mouvements\Account Statement.srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\HIS2\Mouvements\Liste de mouvements de bourse (Excel).srex";"Liste de mouvements de bourse (Excel)";;;;;
ReportViewName;"\work\HIS2\Mouvements\Liste de mouvements de bourse (Excel).srex";"view";;;;;
ReportViewName;"\work\HIS2\Mouvements\Liste de mouvements de bourse (Excel).srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Mouvements\Liste de mouvements de bourse (Excel).srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Mouvements\Liste de mouvements de bourse (Excel).srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Mouvements\Liste de mouvements de bourse (Excel).srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Mouvements\Liste de mouvements de bourse (Excel).srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Mouvements\Liste de mouvements de bourse (Excel).srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Mouvements\Liste de mouvements de bourse (Excel).srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Mouvements\Liste de mouvements de bourse (Excel).srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Mouvements\Liste de mouvements de bourse (Excel).srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\HIS2\Performances\Historical Performances (Excel).srex";"Historical Performances (Excel)";;;;;
ReportViewName;"\work\HIS2\Performances\Historical Performances (Excel).srex";"view";;;;;
ReportViewName;"\work\HIS2\Performances\Historical Performances (Excel).srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Performances\Historical Performances (Excel).srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Performances\Historical Performances (Excel).srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Performances\Historical Performances (Excel).srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Performances\Historical Performances (Excel).srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Performances\Historical Performances (Excel).srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Performances\Historical Performances (Excel).srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Performances\Historical Performances (Excel).srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Performances\Historical Performances (Excel).srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\HIS2\Performances\Liste apports retraits et détail clients (Excel).srex";"Liste apports retraits et détail clients (Excel)";;;;;
ReportViewName;"\work\HIS2\Performances\Liste apports retraits et détail clients (Excel).srex";"view";;;;;
ReportViewName;"\work\HIS2\Performances\Liste apports retraits et détail clients (Excel).srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Performances\Liste apports retraits et détail clients (Excel).srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Performances\Liste apports retraits et détail clients (Excel).srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Performances\Liste apports retraits et détail clients (Excel).srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Performances\Liste apports retraits et détail clients (Excel).srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Performances\Liste apports retraits et détail clients (Excel).srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Performances\Liste apports retraits et détail clients (Excel).srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Performances\Liste apports retraits et détail clients (Excel).srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Performances\Liste apports retraits et détail clients (Excel).srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\HIS2\Performances\Performances clients (Excel).srex";"Performances clients (Excel)";;;;;
ReportViewName;"\work\HIS2\Performances\Performances clients (Excel).srex";"view";;;;;
ReportViewName;"\work\HIS2\Performances\Performances clients (Excel).srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Performances\Performances clients (Excel).srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Performances\Performances clients (Excel).srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Performances\Performances clients (Excel).srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Performances\Performances clients (Excel).srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Performances\Performances clients (Excel).srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Performances\Performances clients (Excel).srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Performances\Performances clients (Excel).srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Performances\Performances clients (Excel).srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\HIS2\Performances\Performances clients.srex";"Performances clients";;;;;
ReportViewName;"\work\HIS2\Performances\Performances clients.srex";"view";;;;;
ReportViewName;"\work\HIS2\Performances\Performances clients.srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Performances\Performances clients.srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Performances\Performances clients.srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Performances\Performances clients.srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Performances\Performances clients.srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Performances\Performances clients.srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Performances\Performances clients.srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Performances\Performances clients.srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Performances\Performances clients.srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\HIS2\Positions\Cash Accounts (Excel).srex";"Cash Accounts (Excel)";;;;;
ReportViewName;"\work\HIS2\Positions\Cash Accounts (Excel).srex";"view";;;;;
ReportViewName;"\work\HIS2\Positions\Cash Accounts (Excel).srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Positions\Cash Accounts (Excel).srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Positions\Cash Accounts (Excel).srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Positions\Cash Accounts (Excel).srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Positions\Cash Accounts (Excel).srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Positions\Cash Accounts (Excel).srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Positions\Cash Accounts (Excel).srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Positions\Cash Accounts (Excel).srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Positions\Cash Accounts (Excel).srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\HIS2\Positions\Liste des valeurs (Excel).srex";"Liste des valeurs (Excel)";;;;;
ReportViewName;"\work\HIS2\Positions\Liste des valeurs (Excel).srex";"view";;;;;
ReportViewName;"\work\HIS2\Positions\Liste des valeurs (Excel).srex";"Model HTML";;;;;
ReportViewName;"\work\HIS2\Positions\Liste des valeurs (Excel).srex";"Model Container";;;;;
ReportViewName;"\work\HIS2\Positions\Liste des valeurs (Excel).srex";"Page Table";;;;;
ReportViewName;"\work\HIS2\Positions\Liste des valeurs (Excel).srex";"Chart JS";;;;;
ReportViewName;"\work\HIS2\Positions\Liste des valeurs (Excel).srex";"Chart NVD3";;;;;
ReportViewName;"\work\HIS2\Positions\Liste des valeurs (Excel).srex";"Chart Plotly";;;;;
ReportViewName;"\work\HIS2\Positions\Liste des valeurs (Excel).srex";"Data Table";;;;;
ReportViewName;"\work\HIS2\Positions\Liste des valeurs (Excel).srex";"CSV";;;;;
ReportViewName;"\work\HIS2\Positions\Liste des valeurs (Excel).srex";"Model CSV Excel";;;;;
